epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.3493,2.9543,22.4256,4.06684,0,0,0,0,2.61967,8.67372,3.44198,0.0701987,0.00331126,0.00331126
2,80.5128,3.05316,10.7084,3.95439,0.00011,0.08511,0.0001,2e-05,2.66256,9.03102,3.8404,0.0401658,0.0066117,0.0066117
3,118.536,3.00553,10.346,3.68933,0,0,0,0,3.36098,15.9104,15.099,0.0100999,0.00987914,0.00987914
4,153.404,2.86033,10.2769,3.4419,0,0,0,0,3.57222,12.0835,5.56097,0.0098515,0.0098515,0.0098515
5,189.758,2.83895,9.87445,3.35622,0.00021,0.34375,0.00057,0.00014,2.49384,28.4798,2.78519,0.009802,0.009802,0.009802
6,226.575,2.88156,9.68647,3.31257,0.00025,0.26172,0.00033,0.0001,2.39629,11.2293,2.79906,0.0097525,0.0097525,0.0097525
7,263.252,2.85728,9.67679,3.31211,0.00113,0.11611,0.0007,0.00015,2.34538,7.30915,2.75992,0.009703,0.009703,0.009703
8,300.097,2.76507,9.76784,3.26577,0.0002,0.34375,0.00063,0.00019,2.38054,23.3375,2.73985,0.0096535,0.0096535,0.0096535
9,337.685,2.79128,9.54244,3.22696,0.00055,0.35439,0.00142,0.00044,2.2763,9.42584,2.6147,0.009604,0.009604,0.009604
10,374.189,2.74233,9.36237,3.18151,0.0013,0.37808,0.00262,0.00072,2.36613,7.34823,2.68155,0.0095545,0.0095545,0.0095545
11,411.712,2.76214,9.19713,3.18276,0.00069,0.48138,0.00145,0.00039,2.43974,10.9587,2.69303,0.009505,0.009505,0.009505
12,447.749,2.77617,8.82203,3.18536,0.001,0.42387,0.00208,0.00057,2.34414,9.81349,2.71513,0.0094555,0.0094555,0.0094555
13,485.032,2.70302,8.98967,3.11663,0.00127,0.4547,0.00349,0.00105,2.31988,8.84918,2.58431,0.009406,0.009406,0.009406
14,522.306,2.73491,8.89753,3.12049,0.00114,0.34333,0.00454,0.00125,2.28977,8.97569,2.66141,0.0093565,0.0093565,0.0093565
15,558.587,2.73081,8.68031,3.13967,0.0009,0.4306,0.00552,0.00136,2.30642,9.18339,2.66259,0.009307,0.009307,0.009307
16,595.046,2.68756,8.62882,3.11032,0.00102,0.57322,0.00589,0.00156,2.23949,10.994,2.65775,0.0092575,0.0092575,0.0092575
17,631.91,2.64729,8.33183,3.10694,0.02329,0.05859,0.00907,0.00267,2.24521,9.92104,2.55498,0.009208,0.009208,0.009208
