epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.875,2.97194,7.20116,2.9295,0.0003,0.07786,0.00016,4e-05,3.20545,42.3425,3.98316,0.0690773,0.00232751,0.00232751
2,176.509,2.97562,4.75995,3.00827,0.0019,0.09628,0.00363,0.00086,3.21206,4.79499,3.09133,0.0380465,0.00463009,0.00463009
3,250.984,2.95961,4.52177,2.95142,0.00197,0.03454,0.00137,0.00052,3.14943,5.51669,3.0691,0.00698498,0.00690186,0.00690186
4,324.815,2.90869,4.3638,2.90773,0.52352,0.01406,0.00497,0.00156,3.04618,5.07763,2.93971,0.0068614,0.0068614,0.0068614
5,398.256,2.90147,4.15216,2.86869,0.5452,0.00937,0.00695,0.0022,3.01996,4.83838,2.92544,0.0068152,0.0068152,0.0068152
6,473.779,2.83242,4.10196,2.78839,0.52691,0.025,0.00503,0.00133,2.96554,5.19963,2.94799,0.006769,0.006769,0.006769
7,548.1,2.81995,4.05124,2.80848,0.04047,0.0375,0.01668,0.00512,2.87725,4.69617,2.82238,0.0067228,0.0067228,0.0067228
8,621.911,2.77526,4.0336,2.73276,0.57397,0.01875,0.01145,0.00407,2.98584,4.78949,2.872,0.0066766,0.0066766,0.0066766
9,695.549,2.76963,3.8475,2.71014,0.59195,0.00937,0.01202,0.00363,2.94529,4.50978,2.79103,0.0066304,0.0066304,0.0066304
10,769.509,2.74128,3.89696,2.67903,0.00894,0.16153,0.01469,0.00458,2.91388,4.57898,2.81634,0.0065842,0.0065842,0.0065842
11,843.198,2.74278,3.80079,2.67635,0.00401,0.26525,0.00966,0.00317,2.86246,4.18327,2.77245,0.006538,0.006538,0.006538
12,916.638,2.71252,3.73,2.65805,0.52478,0.04688,0.01361,0.00438,2.82698,4.34065,2.72295,0.0064918,0.0064918,0.0064918
13,990.579,2.69679,3.65759,2.65464,0.53199,0.01875,0.01101,0.00354,2.79319,4.62539,2.69712,0.0064456,0.0064456,0.0064456
14,1064.59,2.69966,3.60114,2.6351,0.5599,0.05469,0.02584,0.00898,2.78068,4.36058,2.68098,0.0063994,0.0063994,0.0063994
15,1138.3,2.64204,3.44199,2.5683,0.17448,0.05442,0.03156,0.00895,2.78556,4.54918,2.66316,0.0063532,0.0063532,0.0063532
16,1213.81,2.605,3.47513,2.57251,0.0616,0.04235,0.01904,0.00528,2.7459,4.37136,2.61434,0.006307,0.006307,0.006307
17,1288.57,2.61627,3.46244,2.53474,0.40995,0.07942,0.06235,0.01828,2.78468,3.8674,2.66022,0.0062608,0.0062608,0.0062608
18,1361.98,2.59574,3.40364,2.54696,0.20706,0.06839,0.04301,0.01145,2.80375,4.04338,2.65292,0.0062146,0.0062146,0.0062146
19,1436.2,2.60453,3.36812,2.50736,0.58232,0.06094,0.05495,0.01751,2.71542,3.85502,2.61237,0.0061684,0.0061684,0.0061684
20,1510.59,2.61444,3.36251,2.48693,0.26909,0.0882,0.06923,0.02208,2.68977,3.88638,2.56321,0.0061222,0.0061222,0.0061222
21,1587.16,2.5618,3.27831,2.44386,0.28949,0.11042,0.0856,0.02682,2.56747,3.45777,2.47309,0.006076,0.006076,0.006076
22,1661.43,2.48966,3.19036,2.43415,0.2028,0.13173,0.08215,0.02563,2.63661,3.73113,2.5131,0.0060298,0.0060298,0.0060298
23,1736.04,2.48545,3.21385,2.42653,0.28019,0.09461,0.06774,0.019,2.66189,3.52167,2.53103,0.0059836,0.0059836,0.0059836
24,1810.86,2.49893,3.283,2.44966,0.20116,0.12683,0.06682,0.0215,2.6108,3.78608,2.48015,0.0059374,0.0059374,0.0059374
25,1885.71,2.48976,3.18377,2.41824,0.24473,0.10722,0.07295,0.02238,2.62575,3.4236,2.51749,0.0058912,0.0058912,0.0058912
26,1960.48,2.47765,3.17336,2.40565,0.313,0.10824,0.10376,0.03324,2.58049,3.52661,2.44483,0.005845,0.005845,0.005845
27,2036.6,2.45864,3.05189,2.38261,0.20654,0.12565,0.08412,0.0272,2.57233,3.43306,2.41548,0.0057988,0.0057988,0.0057988
28,2110.92,2.43736,3.15061,2.40574,0.29055,0.13093,0.10497,0.03199,2.60665,3.40886,2.47556,0.0057526,0.0057526,0.0057526
29,2184.16,2.42177,3.05671,2.34924,0.21369,0.06534,0.06711,0.02452,2.56389,3.6304,2.43191,0.0057064,0.0057064,0.0057064
30,2257.43,2.40751,3.06217,2.33874,0.23632,0.12861,0.10958,0.03403,2.51573,3.31436,2.401,0.0056602,0.0056602,0.0056602
31,2332.82,2.38601,2.97908,2.31323,0.25103,0.12377,0.0992,0.03025,2.55647,3.52236,2.43596,0.005614,0.005614,0.005614
32,2407.24,2.36682,2.98948,2.33277,0.26165,0.17732,0.10515,0.0351,2.5192,3.68375,2.3822,0.0055678,0.0055678,0.0055678
33,2481.96,2.35716,2.92466,2.30083,0.3175,0.11903,0.11443,0.0387,2.52045,3.37454,2.40552,0.0055216,0.0055216,0.0055216
34,2555.88,2.33626,2.96631,2.28539,0.17431,0.16455,0.10028,0.03355,2.49666,3.48584,2.39515,0.0054754,0.0054754,0.0054754
35,2630.63,2.36101,2.92698,2.30456,0.26871,0.13082,0.10621,0.03612,2.49749,3.5009,2.40474,0.0054292,0.0054292,0.0054292
36,2704.11,2.37161,2.94488,2.29035,0.24476,0.17446,0.12515,0.03879,2.54209,3.44564,2.42592,0.005383,0.005383,0.005383
37,2778.77,2.34178,2.88489,2.27576,0.24268,0.15522,0.12084,0.03827,2.49679,3.34426,2.37565,0.0053368,0.0053368,0.0053368
38,2851.84,2.32263,2.86082,2.26837,0.22632,0.15679,0.11546,0.03641,2.47367,3.36373,2.40948,0.0052906,0.0052906,0.0052906
39,2926.19,2.29448,2.84908,2.26461,0.29837,0.18055,0.13704,0.04561,2.52329,3.44401,2.41673,0.0052444,0.0052444,0.0052444
40,3000.16,2.31856,2.78258,2.24997,0.30865,0.18472,0.15063,0.04968,2.45245,3.23414,2.33982,0.0051982,0.0051982,0.0051982
41,3073.54,2.28336,2.80199,2.25138,0.23188,0.15004,0.11251,0.0361,2.50698,3.4727,2.42392,0.005152,0.005152,0.005152
42,3147.02,2.28623,2.77376,2.24022,0.30482,0.18253,0.15322,0.04924,2.43949,3.2428,2.3572,0.0051058,0.0051058,0.0051058
43,3220.87,2.26461,2.72857,2.23067,0.28841,0.22866,0.16383,0.05227,2.47735,3.12412,2.38604,0.0050596,0.0050596,0.0050596
44,3294.76,2.25877,2.7526,2.20887,0.27953,0.21601,0.16481,0.05642,2.41786,3.4021,2.3277,0.0050134,0.0050134,0.0050134
45,3368.82,2.25141,2.73165,2.20663,0.26139,0.18093,0.13415,0.04397,2.49219,3.42057,2.36841,0.0049672,0.0049672,0.0049672
46,3442.57,2.23768,2.74675,2.21839,0.26774,0.18491,0.13225,0.04197,2.40923,3.84797,2.33713,0.004921,0.004921,0.004921
47,3516.88,2.20421,2.72123,2.20238,0.30223,0.22123,0.16383,0.0507,2.44701,3.04485,2.36042,0.0048748,0.0048748,0.0048748
48,3590.26,2.22535,2.69107,2.18838,0.26923,0.18941,0.13854,0.04388,2.45482,3.56099,2.37042,0.0048286,0.0048286,0.0048286
49,3664.21,2.22164,2.62846,2.1774,0.28174,0.1993,0.15131,0.04799,2.38584,3.20369,2.32049,0.0047824,0.0047824,0.0047824
50,3737.86,2.21486,2.65745,2.18294,0.33036,0.1995,0.17737,0.05954,2.46534,3.10128,2.36621,0.0047362,0.0047362,0.0047362
51,3812.37,2.15906,2.60146,2.15638,0.28255,0.23358,0.18328,0.06147,2.40803,3.12832,2.34989,0.00469,0.00469,0.00469
52,3885.78,2.13863,2.53162,2.14955,0.28244,0.22742,0.18569,0.06669,2.4267,3.13013,2.3443,0.0046438,0.0046438,0.0046438
53,3959.75,2.15373,2.54509,2.12357,0.30895,0.20959,0.1843,0.06447,2.41574,2.97702,2.34852,0.0045976,0.0045976,0.0045976
54,4033.6,2.14878,2.51064,2.13418,0.32322,0.21153,0.18163,0.06456,2.39982,3.03286,2.33219,0.0045514,0.0045514,0.0045514
55,4108.44,2.16608,2.50811,2.11934,0.28972,0.22355,0.17695,0.06286,2.39066,3.0001,2.32946,0.0045052,0.0045052,0.0045052
56,4182.7,2.13809,2.50943,2.11005,0.29814,0.24208,0.17759,0.0598,2.33139,3.12708,2.31736,0.004459,0.004459,0.004459
57,4256.29,2.1244,2.54815,2.1064,0.33414,0.21433,0.1812,0.06255,2.35413,3.06745,2.30616,0.0044128,0.0044128,0.0044128
58,4330.47,2.09982,2.47684,2.07105,0.32831,0.24332,0.19387,0.06536,2.38542,3.13781,2.34741,0.0043666,0.0043666,0.0043666
59,4406.3,2.07644,2.42703,2.08045,0.3112,0.25754,0.18825,0.06591,2.37752,2.94338,2.34759,0.0043204,0.0043204,0.0043204
60,4480.72,2.08397,2.44251,2.07658,0.31581,0.25652,0.19096,0.06934,2.3767,3.0772,2.3329,0.0042742,0.0042742,0.0042742
61,4554.25,2.09309,2.42191,2.0628,0.26115,0.24779,0.18424,0.06441,2.42875,3.23811,2.34434,0.004228,0.004228,0.004228
62,4629.9,2.08148,2.42614,2.08415,0.35046,0.24925,0.21865,0.0757,2.32513,2.91207,2.30093,0.0041818,0.0041818,0.0041818
63,4704.91,2.05916,2.39228,2.06448,0.34638,0.2743,0.21695,0.07299,2.39504,3.12447,2.34999,0.0041356,0.0041356,0.0041356
64,4779.33,2.05412,2.43451,2.05378,0.30887,0.25533,0.20084,0.07041,2.42761,2.87976,2.36326,0.0040894,0.0040894,0.0040894
65,4853.18,2.04018,2.37492,2.04357,0.33181,0.26435,0.2036,0.07406,2.36159,2.96664,2.3064,0.0040432,0.0040432,0.0040432
66,4926.6,2.0116,2.35683,2.02128,0.34454,0.25932,0.21457,0.07133,2.34802,2.90798,2.34065,0.003997,0.003997,0.003997
67,5000.63,2.01944,2.32398,2.03312,0.32442,0.24052,0.21041,0.0742,2.32606,2.83002,2.30621,0.0039508,0.0039508,0.0039508
68,5075.38,2.02194,2.28648,2.03219,0.3433,0.25321,0.2171,0.08176,2.34486,3.06822,2.33301,0.0039046,0.0039046,0.0039046
69,5149.85,2.03169,2.25641,2.04109,0.35996,0.25269,0.20308,0.07299,2.36065,2.96036,2.31387,0.0038584,0.0038584,0.0038584
70,5224.02,1.97316,2.25403,2.00168,0.31575,0.24957,0.21762,0.08225,2.35619,2.86237,2.311,0.0038122,0.0038122,0.0038122
71,5298.62,2.01301,2.28722,1.99295,0.32721,0.25884,0.21847,0.08357,2.34652,2.85534,2.32475,0.003766,0.003766,0.003766
72,5372.51,1.95215,2.18066,1.9682,0.3438,0.27796,0.23284,0.0866,2.34278,2.81869,2.33096,0.0037198,0.0037198,0.0037198
73,5446.7,1.97959,2.20239,1.97798,0.34325,0.26793,0.23377,0.08569,2.32511,2.83521,2.31648,0.0036736,0.0036736,0.0036736
74,5520.28,1.96029,2.1992,1.98535,0.33257,0.27082,0.22962,0.08573,2.3284,2.82149,2.33089,0.0036274,0.0036274,0.0036274
75,5593.78,1.95049,2.17992,1.9788,0.34893,0.26616,0.22143,0.08555,2.31259,2.86148,2.29569,0.0035812,0.0035812,0.0035812
