epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.5588,2.99477,5.80296,3.50228,0.00029,0.0307,0.00022,6e-05,3.17312,5.27127,3.3088,0.0671823,0.000331492,0.000331492
2,79.1253,3.00183,5.08735,3.16868,0.00109,0.15284,0.00073,0.00025,3.01759,6.79817,3.22543,0.0341793,0.000661833,0.000661833
3,102.018,2.89065,4.78109,3.06235,0.50417,0.00382,0.00336,0.0009,2.97622,4.68673,3.14418,0.00117334,0.000989175,0.000989175
4,124.616,2.78234,4.54143,2.9995,0.00261,0.44928,0.00352,0.00115,2.92492,4.48094,3.05553,0.0009865,0.0009865,0.0009865
5,146.66,2.7732,4.45556,2.96428,0.51577,0.04962,0.00578,0.00171,2.90643,4.45911,2.99613,0.000982,0.000982,0.000982
6,170.485,2.78435,4.37324,2.94999,0.00763,0.21464,0.00636,0.00198,2.80231,4.2999,2.93295,0.0009775,0.0009775,0.0009775
7,192.218,2.72522,4.3142,2.88105,0.53642,0.00382,0.01017,0.00255,2.80601,4.15661,2.92742,0.000973,0.000973,0.000973
8,214.121,2.68167,4.25978,2.86177,0.02692,0.01908,0.00955,0.00296,2.78814,4.70865,2.90965,0.0009685,0.0009685,0.0009685
9,236.593,2.65788,4.186,2.84672,0.53925,0.01527,0.01065,0.00289,2.84814,4.46847,2.97158,0.000964,0.000964,0.000964
10,259.015,2.56017,4.05363,2.80898,0.57313,0.03053,0.02232,0.00633,2.81382,4.02624,2.9707,0.0009595,0.0009595,0.0009595
11,281.702,2.62313,4.0766,2.81578,0.5516,0.0229,0.02369,0.00653,2.73128,3.98255,2.8802,0.000955,0.000955,0.000955
