epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.486,2.15605,5.74294,2.40994,0.0025,0.18062,0.00231,0.00053,2.91984,inf,7.52967,0.0693483,0.00230712,0.00230712
2,58.1793,2.06429,3.64393,2.27182,0.0364,0.13637,0.01107,0.00285,3.05451,37.8977,4.10739,0.0382564,0.00454857,0.00454857
3,72.2404,2.05304,3.50892,2.25185,0.15383,0.38492,0.15197,0.04449,2.43296,50.7684,2.95147,0.00707215,0.00669762,0.00669762
4,87.4789,1.92602,3.23859,2.1785,0.44083,0.31168,0.25052,0.1023,2.03538,11.4952,2.3833,0.0065842,0.0065842,0.0065842
5,101.959,1.88806,3.12761,2.11332,0.65896,0.3668,0.3489,0.17575,1.72409,5.22687,1.93989,0.0064456,0.0064456,0.0064456
6,116.191,1.79598,2.90506,2.01873,0.3633,0.3677,0.31458,0.13613,2.04934,4.83115,2.15187,0.006307,0.006307,0.006307
7,131.595,1.76327,2.87941,1.99108,0.66544,0.37512,0.38003,0.16476,2.03597,3.28093,2.11209,0.0061684,0.0061684,0.0061684
8,145.665,1.73247,2.77858,1.94896,0.44304,0.45131,0.40372,0.16746,2.15587,4.16018,2.23989,0.0060298,0.0060298,0.0060298
9,160.987,1.71375,2.73124,1.92929,0.43445,0.46562,0.42425,0.20359,1.81094,2.36535,1.84206,0.0058912,0.0058912,0.0058912
10,175.387,1.70378,2.7132,1.90672,0.94145,0.33622,0.3903,0.15388,2.2027,2.69549,2.21864,0.0057526,0.0057526,0.0057526
11,190.894,1.65324,2.6037,1.85505,0.5047,0.44833,0.43453,0.17767,2.10708,2.58246,2.0141,0.005614,0.005614,0.005614
12,205.53,1.6289,2.53476,1.82287,0.50375,0.47688,0.46411,0.22528,1.78847,2.66164,1.87415,0.0054754,0.0054754,0.0054754
13,220.987,1.58664,2.51901,1.77653,0.44149,0.46047,0.41668,0.18828,1.97097,2.87122,2.00964,0.0053368,0.0053368,0.0053368
14,234.992,1.57873,2.38946,1.76968,0.52697,0.46982,0.44501,0.20382,1.93968,2.26803,1.81853,0.0051982,0.0051982,0.0051982
15,249.44,1.57802,2.38159,1.78214,0.62685,0.40673,0.43931,0.20086,1.9757,2.61886,1.95879,0.0050596,0.0050596,0.0050596
16,264.638,1.56453,2.36317,1.76414,0.50772,0.52029,0.47967,0.22647,1.85371,2.05306,1.85938,0.004921,0.004921,0.004921
